,rating_id,token,stimuli_id,source_id,media_a_id,source_a,created_at,source_name_vote,reversed,source_position_vote,observer_id,playlist_id,src_name,src_name_bis,nickname
0,834583,f2z4wgwi,17663,8404,94030,tubes/5_videoSRC036_patch1064_ref_lvl1_qp45_lvl4.mp4,1648479493,0,False,0,observer35147,464,videoSRC036_patch1064,,short hair
1,834584,f2z4wgwi,17662,8404,94021,tubes/5_videoSRC036_patch1064_qp45_lvl4_qp49_lvl5_reversed.mp4,1648479510,1,True,0,observer35147,464,videoSRC036_patch1064,,short hair
2,834585,f2z4wgwi,17665,8404,94034,tubes/5_videoSRC036_patch1064_ref_lvl1_qp55_lvl6.mp4,1648479517,0,False,0,observer35147,464,videoSRC036_patch1064,,short hair
3,834587,f2z4wgwi,17664,8404,94009,tubes/5_videoSRC036_patch1064_qp29_lvl2_qp45_lvl4_reversed.mp4,1648479525,0,True,1,observer35147,464,videoSRC036_patch1064,,short hair
4,834588,f2z4wgwi,17666,8404,94010,tubes/5_videoSRC036_patch1064_qp29_lvl2_qp49_lvl5.mp4,1648479532,0,False,0,observer35147,464,videoSRC036_patch1064,,short hair
5,834589,f2z4wgwi,17638,8399,93876,tubes/23_videoSRC007_patch1722_ref_lvl1_qp33_lvl2.mp4,1648479539,0,False,0,observer35147,464,videoSRC007_patch1722,,woman hair
6,834590,f2z4wgwi,17640,8399,93863,tubes/23_videoSRC007_patch1722_qp33_lvl2_qp55_lvl6_reversed.mp4,1648479547,0,True,1,observer35147,464,videoSRC007_patch1722,,woman hair
7,834591,f2z4wgwi,17639,8399,93856,tubes/23_videoSRC007_patch1722_qp33_lvl2_qp43_lvl3.mp4,1648479554,0,False,0,observer35147,464,videoSRC007_patch1722,,woman hair
8,834592,f2z4wgwi,17641,8399,93885,tubes/23_videoSRC007_patch1722_ref_lvl1_qp55_lvl6_reversed.mp4,1648479562,0,True,1,observer35147,464,videoSRC007_patch1722,,woman hair
9,834593,f2z4wgwi,17637,8399,93858,tubes/23_videoSRC007_patch1722_qp33_lvl2_qp47_lvl4.mp4,1648479569,0,False,0,observer35147,464,videoSRC007_patch1722,,woman hair
10,834594,f2z4wgwi,17673,8406,94087,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_reversed.mp4,1648479576,0,True,1,observer35147,464,videoSRC037_patch833,,coat sewing
11,834595,f2z4wgwi,17674,8406,94089,tubes/5_videoSRC037_patch833_ref_lvl1_qp39_lvl3_reversed.mp4,1648479584,0,True,1,observer35147,464,videoSRC037_patch833,,coat sewing
