,rating_id,token,stimuli_id,source_id,media_a_id,source_a,created_at,source_name_vote,nb_replay,reversed,source_position_vote,observer_id,playlist_id,src_name,src_name_bis
0,796638,7xnguzob,16204,5349,38395,tubes/2_videoSRC008_patch1750_ref_lvl1_qp41_lvl3_qp45_lvl4_qp49_lvl5.mp4,1643191749,0,0,False,0,observer32970,423,videoSRC008_patch1750,
1,796639,7xnguzob,16207,5349,38390,tubes/2_videoSRC008_patch1750_ref_lvl1_qp33_lvl2_qp45_lvl4_qp49_lvl5_reversed.mp4,1643191757,0,0,True,1,observer32970,423,videoSRC008_patch1750,
2,796640,7xnguzob,16205,5349,38388,tubes/2_videoSRC008_patch1750_ref_lvl1_qp33_lvl2_qp41_lvl3_qp55_lvl6_reversed.mp4,1643191765,1,0,True,0,observer32970,423,videoSRC008_patch1750,
3,796641,7xnguzob,16206,5349,38402,tubes/2_videoSRC008_patch1750_ref_lvl1_qp45_lvl4_qp49_lvl5_qp55_lvl6_reversed.mp4,1643191773,0,0,True,1,observer32970,423,videoSRC008_patch1750,
4,796642,7xnguzob,16208,5349,38391,tubes/2_videoSRC008_patch1750_ref_lvl1_qp33_lvl2_qp45_lvl4_qp55_lvl6.mp4,1643191781,1,0,False,1,observer32970,423,videoSRC008_patch1750,
5,796643,7xnguzob,16221,5352,38469,tubes/5_videoSRC036_patch2646_qp27_lvl2_qp47_lvl4_qp53_lvl5_qp55_lvl6.mp4,1643191789,0,0,False,0,observer32970,423,videoSRC036_patch2646,
6,796644,7xnguzob,16222,5352,38472,tubes/5_videoSRC036_patch2646_qp43_lvl3_qp47_lvl4_qp53_lvl5_qp55_lvl6_reversed.mp4,1643191798,0,0,True,1,observer32970,423,videoSRC036_patch2646,
7,796645,7xnguzob,16220,5352,38468,tubes/5_videoSRC036_patch2646_qp27_lvl2_qp43_lvl3_qp53_lvl5_qp55_lvl6_reversed.mp4,1643191806,0,0,True,1,observer32970,423,videoSRC036_patch2646,
8,796646,7xnguzob,16219,5352,38483,tubes/5_videoSRC036_patch2646_ref_lvl1_qp27_lvl2_qp53_lvl5_qp55_lvl6.mp4,1643191815,1,0,False,1,observer32970,423,videoSRC036_patch2646,
9,796647,7xnguzob,16223,5352,38480,tubes/5_videoSRC036_patch2646_ref_lvl1_qp27_lvl2_qp47_lvl4_qp53_lvl5_reversed.mp4,1643191824,1,0,True,0,observer32970,423,videoSRC036_patch2646,
10,796648,7xnguzob,16226,5353,38503,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_qp39_lvl3_qp45_lvl4.mp4,1643191832,1,0,False,1,observer32970,423,videoSRC037_patch833,
11,796649,7xnguzob,16225,5353,38498,tubes/5_videoSRC037_patch833_qp27_lvl2_qp39_lvl3_qp49_lvl5_qp53_lvl6_reversed.mp4,1643191840,0,0,True,1,observer32970,423,videoSRC037_patch833,
