,rating_id,token,stimuli_id,source_id,media_a_id,source_a,created_at,source_name_vote,reversed,source_position_vote,observer_id,playlist_id,src_name,src_name_bis,nickname
0,834704,i9eqtdza,17764,8408,94156,tubes/23_videoSRC013_patch4403_ref_lvl1_qp31_lvl2_qp39_lvl3.mp4,1648480762,1,False,1,observer35152,467,videoSRC013_patch4403,,black wood
1,834705,i9eqtdza,17765,8408,94167,tubes/23_videoSRC013_patch4403_ref_lvl1_qp39_lvl3_qp51_lvl5_reversed.mp4,1648480770,1,True,0,observer35152,467,videoSRC013_patch4403,,black wood
2,834706,i9eqtdza,17762,8408,94154,tubes/23_videoSRC013_patch4403_qp47_lvl4_qp51_lvl5_qp55_lvl6.mp4,1648480778,1,False,1,observer35152,467,videoSRC013_patch4403,,black wood
3,834707,i9eqtdza,17763,8408,94171,tubes/23_videoSRC013_patch4403_ref_lvl1_qp47_lvl4_qp51_lvl5_reversed.mp4,1648480787,1,True,0,observer35152,467,videoSRC013_patch4403,,black wood
4,834708,i9eqtdza,17766,8408,94140,tubes/23_videoSRC013_patch4403_qp31_lvl2_qp39_lvl3_qp55_lvl6.mp4,1648480794,0,False,0,observer35152,467,videoSRC013_patch4403,,black wood
5,834709,i9eqtdza,17794,8414,94401,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_qp49_lvl5_reversed.mp4,1648480802,0,True,1,observer35152,467,videoSRC037_patch833,,coat sewing
6,834710,i9eqtdza,17792,8414,94397,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_qp39_lvl3_reversed.mp4,1648480810,1,True,0,observer35152,467,videoSRC037_patch833,,coat sewing
7,834711,i9eqtdza,17795,8414,94402,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_qp53_lvl6.mp4,1648480818,0,False,0,observer35152,467,videoSRC037_patch833,,coat sewing
8,834712,i9eqtdza,17793,8414,94399,tubes/5_videoSRC037_patch833_ref_lvl1_qp27_lvl2_qp45_lvl4_reversed.mp4,1648480842,0,True,1,observer35152,467,videoSRC037_patch833,,coat sewing
9,834713,i9eqtdza,17796,8414,94377,tubes/5_videoSRC037_patch833_qp27_lvl2_qp39_lvl3_qp45_lvl4_reversed.mp4,1648480850,0,True,1,observer35152,467,videoSRC037_patch833,,coat sewing
10,834714,i9eqtdza,17783,8412,94326,tubes/5_videoSRC036_patch1064_ref_lvl1_qp41_lvl3_qp49_lvl5.mp4,1648480859,1,False,1,observer35152,467,videoSRC036_patch1064,,short hair
11,834715,i9eqtdza,17786,8412,94317,tubes/5_videoSRC036_patch1064_ref_lvl1_qp29_lvl2_qp41_lvl3_reversed.mp4,1648480867,1,True,0,observer35152,467,videoSRC036_patch1064,,short hair
12,834716,i9eqtdza,17784,8412,94329,tubes/5_videoSRC036_patch1064_ref_lvl1_qp41_lvl3_qp55_lvl6_reversed.mp4,1648480874,1,True,0,observer35152,467,videoSRC036_patch1064,,short hair
13,834717,i9eqtdza,17782,8412,94320,tubes/5_videoSRC036_patch1064_ref_lvl1_qp29_lvl2_qp49_lvl5.mp4,1648480891,1,False,1,observer35152,467,videoSRC036_patch1064,,short hair
14,834718,i9eqtdza,17785,8412,94325,tubes/5_videoSRC036_patch1064_ref_lvl1_qp41_lvl3_qp45_lvl4_reversed.mp4,1648480899,1,True,0,observer35152,467,videoSRC036_patch1064,,short hair
15,834719,i9eqtdza,17788,8413,94353,tubes/5_videoSRC036_patch2646_qp43_lvl3_qp53_lvl5_qp55_lvl6_reversed.mp4,1648480922,1,True,0,observer35152,467,videoSRC036_patch2646,,blurry
16,834720,i9eqtdza,17787,8413,94347,tubes/5_videoSRC036_patch2646_qp27_lvl2_qp53_lvl5_qp55_lvl6_reversed.mp4,1648480930,1,True,0,observer35152,467,videoSRC036_patch2646,,blurry
17,834721,i9eqtdza,17790,8413,94349,tubes/5_videoSRC036_patch2646_qp43_lvl3_qp47_lvl4_qp53_lvl5_reversed.mp4,1648480938,0,True,1,observer35152,467,videoSRC036_patch2646,,blurry
18,834722,i9eqtdza,17789,8413,94375,tubes/5_videoSRC036_patch2646_ref_lvl1_qp53_lvl5_qp55_lvl6_reversed.mp4,1648480946,1,True,0,observer35152,467,videoSRC036_patch2646,,blurry
19,834723,i9eqtdza,17791,8413,94373,tubes/5_videoSRC036_patch2646_ref_lvl1_qp47_lvl4_qp55_lvl6_reversed.mp4,1648480953,1,True,0,observer35152,467,videoSRC036_patch2646,,blurry
20,834724,i9eqtdza,17759,8407,94121,tubes/23_videoSRC007_patch1722_ref_lvl1_qp33_lvl2_qp51_lvl5_reversed.mp4,1648480961,1,True,0,observer35152,467,videoSRC007_patch1722,,woman hair
21,834725,i9eqtdza,17757,8407,94119,tubes/23_videoSRC007_patch1722_ref_lvl1_qp33_lvl2_qp47_lvl4_reversed.mp4,1648480968,1,True,0,observer35152,467,videoSRC007_patch1722,,woman hair
22,834726,i9eqtdza,17760,8407,94098,tubes/23_videoSRC007_patch1722_qp33_lvl2_qp43_lvl3_qp51_lvl5.mp4,1648480976,0,False,0,observer35152,467,videoSRC007_patch1722,,woman hair
23,834727,i9eqtdza,17758,8407,94101,tubes/23_videoSRC007_patch1722_qp33_lvl2_qp43_lvl3_qp55_lvl6_reversed.mp4,1648480984,0,True,1,observer35152,467,videoSRC007_patch1722,,woman hair
24,834728,i9eqtdza,17761,8407,94135,tubes/23_videoSRC007_patch1722_ref_lvl1_qp51_lvl5_qp55_lvl6_reversed.mp4,1648480992,1,True,0,observer35152,467,videoSRC007_patch1722,,woman hair
25,834729,i9eqtdza,17781,8411,94270,tubes/5_videoSRC019_patch2394_qp35_lvl3_qp41_lvl4_qp47_lvl6.mp4,1648481008,1,False,1,observer35152,467,videoSRC019_patch2394,,tree2
